lat,long,elev
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638900,-778374061,3329
408638866,-778374072,3330
408638856,-778374073,3330
408638845,-778374075,3330
408638836,-778374080,3330
408638825,-778374083,3330
408638813,-778374085,3330
408638801,-778374089,3330
408638787,-778374094,3330
408638774,-778374097,3330
408638759,-778374101,3330
408638754,-778374101,3330
408638737,-778374107,3329
408638722,-778374110,3329
408638706,-778374114,3329
408638690,-778374119,3329
408638671,-778374122,3329
408638654,-778374128,3329
408638636,-778374133,3329
408638618,-778374136,3329
408638599,-778374142,3329
408638576,-778374155,3329
408638553,-778374160,3330
408638531,-778374164,3330
408638510,-778374167,3330
408638488,-778374173,3329
408638465,-778374178,3329
408638441,-778374183,3329
408638417,-778374185,3329
408638393,-778374191,3329
408638368,-778374193,3329
408638349,-778374199,3329
408638320,-778374204,3329
408638293,-778374209,3329
408638265,-778374213,3329
408638235,-778374218,3329
408638204,-778374223,3329
408638172,-778374230,3329
408638141,-778374235,3329
408638108,-778374239,3329
408638077,-778374245,3329
408638053,-778374251,3330
408638015,-778374256,3329
408637981,-778374262,3329
408637945,-778374266,3329
408637911,-778374272,3329
408637875,-778374279,3329
408637838,-778374287,3329
408637799,-778374294,3329
408637762,-778374301,3329
408637719,-778374306,3329
408637681,-778374316,3329
408637636,-778374325,3329
408637591,-778374333,3329
408637546,-778374340,3329
408637498,-778374346,3329
408637452,-778374354,3329
408637405,-778374362,3328
408637356,-778374369,3328
408637305,-778374375,3328
408637252,-778374382,3328
408637207,-778374380,3328
408637151,-778374387,3327
408637098,-778374394,3328
408637044,-778374400,3328
408636990,-778374403,3327
408636935,-778374407,3327
408636879,-778374414,3327
408636823,-778374418,3327
408636767,-778374422,3327
408636710,-778374427,3327
408636653,-778374427,3327
408636593,-778374431,3327
408636535,-778374435,3327
408636477,-778374439,3327
408636419,-778374444,3326
408636360,-778374447,3327
408636301,-778374450,3326
408636240,-778374456,3326
408636179,-778374458,3326
408636117,-778374459,3326
408636054,-778374452,3325
408635992,-778374453,3325
408635992,-778374453,3325
408635928,-778374460,3325
408635867,-778374461,3325
408635806,-778374465,3325
408635744,-778374465,3325
408635683,-778374467,3325
408635620,-778374469,3325
408635558,-778374473,3325
408635497,-778374476,3324
408635441,-778374467,3323
408635380,-778374467,3323
408635319,-778374467,3323
408635256,-778374470,3323
408635195,-778374472,3323
408635134,-778374472,3323
408635073,-778374470,3323
408635011,-778374469,3323
408634950,-778374468,3323
408634889,-778374468,3323
408634827,-778374462,3322
408634765,-778374458,3322
408634704,-778374455,3322
408634643,-778374452,3322
408634581,-778374451,3322
408634521,-778374447,3321
408634461,-778374440,3321
408634401,-778374435,3321
408634340,-778374429,3321
408634278,-778374422,3321
408634213,-778374416,3320
408634152,-778374409,3321
408634092,-778374402,3321
408634033,-778374395,3320
408633975,-778374388,3320
408633914,-778374381,3320
408633854,-778374374,3320
408633794,-778374368,3320
408633734,-778374362,3320
408633676,-778374354,3320
408633621,-778374345,3320
408633563,-778374336,3320
408633505,-778374328,3320
408633444,-778374320,3320
408633387,-778374310,3320
408633328,-778374302,3320
408633270,-778374293,3320
408633210,-778374282,3320
408633153,-778374273,3320
408633096,-778374264,3319
408633037,-778374251,3319
408632981,-778374239,3319
408632922,-778374229,3319
408632865,-778374218,3319
408632808,-778374204,3319
408632751,-778374191,3319
408632694,-778374178,3319
408632636,-778374165,3319
408632579,-778374153,3319
408632523,-778374139,3319
408632460,-778374126,3319
408632403,-778374111,3319
408632347,-778374096,3319
408632290,-778374082,3319
408632232,-778374066,3319
408632176,-778374051,3319
408632119,-778374036,3319
408632061,-778374020,3319
408632005,-778374003,3319
408631949,-778373986,3319
408631887,-778373967,3318
408631832,-778373948,3318
408631774,-778373930,3318
408631718,-778373914,3318
408631661,-778373895,3318
408631604,-778373876,3318
408631546,-778373856,3318
408631489,-778373836,3318
408631431,-778373816,3318
408631375,-778373796,3317
408631313,-778373777,3317
408631256,-778373753,3317
408631198,-778373730,3317
