lat,long,elev,timediff
408470251,-802630792,2685,0:02:50.810000
408470278,-802630775,2686,0:02:50.910000
408470302,-802630762,2686,0:02:51.010000
408470330,-802630748,2686,0:02:51.110000
408470352,-802630736,2686,0:02:51.210000
408470376,-802630716,2686,0:02:51.320000
408470377,-802630706,2686,0:02:51.420000
408470401,-802630687,2686,0:02:51.510000
408470428,-802630664,2686,0:02:51.610000
408470448,-802630642,2686,0:02:51.710000
408470470,-802630614,2686,0:02:51.810000
408470491,-802630583,2687,0:02:51.910000
408470491,-802630583,2687,0:02:52.010000
408470510,-802630550,2687,0:02:52.090000
408470529,-802630519,2687,0:02:52.190000
408470545,-802630484,2688,0:02:52.290000
408470564,-802630452,2688,0:02:52.390000
408470577,-802630447,2688,0:02:52.490000
408470590,-802630407,2688,0:02:52.600000
408470604,-802630366,2688,0:02:52.700000
408470618,-802630324,2688,0:02:52.800000
408470632,-802630286,2688,0:02:52.890000
408470641,-802630242,2688,0:02:52.990000
408470651,-802630201,2688,0:02:53.090000
408470662,-802630160,2687,0:02:53.190000
408470672,-802630119,2687,0:02:53.290000
408470676,-802630070,2687,0:02:53.390000
408470666,-802630035,2687,0:02:53.490000
408470671,-802629990,2687,0:02:53.590000
408470676,-802629939,2686,0:02:53.700000
408470681,-802629891,2686,0:02:53.790000
408470686,-802629840,2686,0:02:53.890000
408470690,-802629790,2686,0:02:53.990000
408470695,-802629740,2686,0:02:54.090000
408470698,-802629687,2686,0:02:54.190000
408470701,-802629638,2686,0:02:54.290000
408470703,-802629586,2686,0:02:54.390000
408470706,-802629534,2686,0:02:54.490000
408470707,-802629479,2686,0:02:54.590000
408470709,-802629426,2686,0:02:54.690000
408470712,-802629375,2686,0:02:54.790000
408470711,-802629321,2686,0:02:54.890000
408470715,-802629269,2686,0:02:54.990000
408470715,-802629216,2686,0:02:55.090000
408470720,-802629160,2686,0:02:55.200000
408470722,-802629103,2686,0:02:55.290000
408470725,-802629049,2686,0:02:55.390000
408470713,-802629001,2686,0:02:55.490000
408470716,-802628942,2686,0:02:55.570000
408470715,-802628889,2686,0:02:55.670000
408470716,-802628835,2686,0:02:55.770000
408470716,-802628780,2686,0:02:55.870000
408470718,-802628722,2686,0:02:55.960000
408470720,-802628670,2686,0:02:56.060000
408470722,-802628614,2686,0:02:56.180000
408470723,-802628556,2686,0:02:56.260000
408470721,-802628499,2686,0:02:56.370000
408470710,-802628456,2686,0:02:56.470000
408470709,-802628398,2686,0:02:56.570000
408470710,-802628345,2686,0:02:56.670000
408470711,-802628289,2686,0:02:56.770000
408470712,-802628233,2686,0:02:56.960000
408470712,-802628177,2686,0:02:57.070000
408470711,-802628122,2686,0:02:57.070000
408470711,-802628066,2685,0:02:57.180000
408470709,-802628009,2686,0:02:57.270000
408470710,-802627955,2686,0:02:57.370000
408470704,-802627904,2687,0:02:57.470000
408470705,-802627850,2687,0:02:57.580000
408470704,-802627797,2687,0:02:57.680000
408470706,-802627743,2686,0:02:57.770000
408470703,-802627692,2687,0:02:57.880000
408470705,-802627639,2687,0:02:57.970000
408470703,-802627589,2687,0:02:58.080000
408470703,-802627535,2687,0:02:58.190000
408470701,-802627485,2687,0:02:58.270000
408470704,-802627433,2687,0:02:58.380000
408470699,-802627389,2688,0:02:58.470000
408470700,-802627339,2688,0:02:58.580000
408470700,-802627290,2688,0:02:58.680000
408470697,-802627243,2688,0:02:58.770000
408470697,-802627195,2687,0:02:58.880000
408470697,-802627145,2687,0:02:58.980000
408470692,-802627098,2688,0:02:59.080000
408470691,-802627050,2688,0:02:59.180000
408470692,-802627004,2688,0:02:59.270000
408470688,-802626960,2688,0:02:59.380000
408470674,-802626917,2689,0:02:59.470000
408470667,-802626876,2689,0:02:59.540000
408470665,-802626830,2689,0:02:59.650000
408470662,-802626785,2689,0:02:59.740000
408470656,-802626740,2690,0:02:59.840000
408470645,-802626706,2690,0:02:59.940000
408470643,-802626658,2690,0:03:00.040000
408470637,-802626616,2690,0:03:00.140000
408470625,-802626579,2690,0:03:00.250000
408470619,-802626538,2690,0:03:00.340000
408470609,-802626501,2691,0:03:00.440000
408470600,-802626463,2691,0:03:00.540000
408470593,-802626426,2691,0:03:00.640000
408470586,-802626388,2691,0:03:00.740000
408470570,-802626360,2692,0:03:00.840000
408470558,-802626326,2692,0:03:00.940000
408470545,-802626290,2692,0:03:01.040000
408470532,-802626256,2692,0:03:01.140000
408470517,-802626226,2692,0:03:01.240000
408470503,-802626199,2692,0:03:01.340000
408470501,-802626175,2690,0:03:01.440000
408470486,-802626156,2690,0:03:01.540000
408470473,-802626137,2690,0:03:01.640000
408470462,-802626117,2690,0:03:01.740000
408470447,-802626098,2691,0:03:01.840000
408470434,-802626081,2691,0:03:01.900000
408470426,-802626062,2690,0:03:02
408470426,-802626062,2690,0:03:02.100000
408470414,-802626045,2690,0:03:02.230000
408470395,-802626019,2691,0:03:02.320000
408470376,-802626009,2692,0:03:02.410000
408470369,-802626002,2692,0:03:02.500000
408470369,-802626002,2692,0:03:02.600000
408470362,-802625991,2692,0:03:02.700000
408470356,-802625984,2692,0:03:02.810000
408470347,-802625974,2692,0:03:02.900000
408470341,-802625968,2692,0:03:03
408470338,-802625957,2692,0:03:03.100000
408470327,-802625945,2692,0:03:03.200000
408470324,-802625940,2692,0:03:03.300000
408470308,-802625944,2693,0:03:03.400000
408470306,-802625943,2693,0:03:03.500000
408470306,-802625943,2693,0:03:03.600000
408470302,-802625939,2693,0:03:03.700000
408470299,-802625936,2693,0:03:03.800000
408470297,-802625934,2693,0:03:03.900000
408470297,-802625930,2693,0:03:04.010000
408470295,-802625928,2693,0:03:04.100000
408470293,-802625930,2693,0:03:04.200000
408470294,-802625927,2693,0:03:04.300000
408470283,-802625930,2694,0:03:04.410000
408470284,-802625933,2694,0:03:04.600000
408470285,-802625935,2694,0:03:04.610000
408470285,-802625934,2694,0:03:04.700000
408470285,-802625935,2694,0:03:04.810000
408470285,-802625936,2694,0:03:04.910000
408470285,-802625935,2694,0:03:05.010000
408470286,-802625935,2694,0:03:05.100000
408470285,-802625935,2694,0:03:05.200000
408470285,-802625935,2694,0:03:05.300000
408470285,-802625946,2695,0:03:05.400000
408470285,-802625947,2695,0:03:05.500000
408470286,-802625947,2695,0:03:05.600000
408470285,-802625946,2695,0:03:05.700000
408470285,-802625946,2695,0:03:05.810000
408470286,-802625946,2695,0:03:05.910000
408470286,-802625948,2695,0:03:06.010000
408470285,-802625947,2695,0:03:06.110000
408470285,-802625947,2695,0:03:06.200000
408470285,-802625948,2696,0:03:06.300000
408470284,-802625948,2695,0:03:06.400000
408470289,-802625954,2696,0:03:06.510000
408470289,-802625954,2696,0:03:06.600000
408470289,-802625954,2696,0:03:06.700000
408470289,-802625954,2696,0:03:06.800000
408470289,-802625954,2696,0:03:06.920000
408470289,-802625954,2696,0:03:07.120000
408470289,-802625954,2696,0:03:07.140000
408470289,-802625954,2696,0:03:07.200000
408470289,-802625954,2696,0:03:07.310000
408470289,-802625954,2696,0:03:07.400000
408470287,-802625958,2696,0:03:07.510000
408470287,-802625958,2696,0:03:07.600000
408470287,-802625958,2696,0:03:07.700000
408470287,-802625958,2696,0:03:07.800000
408470287,-802625958,2696,0:03:07.900000
408470287,-802625958,2696,0:03:08.010000
408470287,-802625958,2696,0:03:08.110000
408470287,-802625958,2696,0:03:08.200000
408470287,-802625958,2696,0:03:08.300000
408470287,-802625958,2696,0:03:08.400000
408470287,-802625958,2696,0:03:08.500000
408470287,-802625958,2696,0:03:08.600000
408470287,-802625958,2696,0:03:08.720000
408470287,-802625958,2696,0:03:08.800000
408470287,-802625958,2696,0:03:08.900000
408470287,-802625958,2696,0:03:09
408470287,-802625958,2696,0:03:09.100000
408470287,-802625958,2696,0:03:09.200000
408470287,-802625958,2696,0:03:09.310000
