lat,long,elev,
408470251,-802630792,2685,
408470278,-802630775,2686,
408470302,-802630762,2686,
408470330,-802630748,2686,
408470352,-802630736,2686,
408470376,-802630716,2686,
408470377,-802630706,2686,
408470401,-802630687,2686,
408470428,-802630664,2686,
408470448,-802630642,2686,
408470470,-802630614,2686,
408470491,-802630583,2687,
408470491,-802630583,2687,
408470510,-802630550,2687,
408470529,-802630519,2687,
408470545,-802630484,2688,
408470564,-802630452,2688,
408470577,-802630447,2688,
408470590,-802630407,2688,
408470604,-802630366,2688,
408470618,-802630324,2688,
408470632,-802630286,2688,
408470641,-802630242,2688,
408470651,-802630201,2688,
408470662,-802630160,2687,
408470672,-802630119,2687,
408470676,-802630070,2687,
408470666,-802630035,2687,
408470671,-802629990,2687,
408470676,-802629939,2686,
408470681,-802629891,2686,
408470686,-802629840,2686,
408470690,-802629790,2686,
408470695,-802629740,2686,
408470698,-802629687,2686,
408470701,-802629638,2686,
408470703,-802629586,2686,
408470706,-802629534,2686,
408470707,-802629479,2686,
408470709,-802629426,2686,
408470712,-802629375,2686,
408470711,-802629321,2686,
408470715,-802629269,2686,
408470715,-802629216,2686,
408470720,-802629160,2686,
408470722,-802629103,2686,
408470725,-802629049,2686,
408470713,-802629001,2686,
408470716,-802628942,2686,
408470715,-802628889,2686,
408470716,-802628835,2686,
408470716,-802628780,2686,
408470718,-802628722,2686,
408470720,-802628670,2686,
408470722,-802628614,2686,
408470723,-802628556,2686,
408470721,-802628499,2686,
408470710,-802628456,2686,
408470709,-802628398,2686,
408470710,-802628345,2686,
408470711,-802628289,2686,
408470712,-802628233,2686,
408470712,-802628177,2686,
408470711,-802628122,2686,
408470711,-802628066,2685,
408470709,-802628009,2686,
408470710,-802627955,2686,
408470704,-802627904,2687,
408470705,-802627850,2687,
408470704,-802627797,2687,
408470706,-802627743,2686,
408470703,-802627692,2687,
408470705,-802627639,2687,
408470703,-802627589,2687,
408470703,-802627535,2687,
408470701,-802627485,2687,
408470704,-802627433,2687,
408470699,-802627389,2688,
408470700,-802627339,2688,
408470700,-802627290,2688,
408470697,-802627243,2688,
408470697,-802627195,2687,
408470697,-802627145,2687,
408470692,-802627098,2688,
408470691,-802627050,2688,
408470692,-802627004,2688,
408470688,-802626960,2688,
408470674,-802626917,2689,
408470667,-802626876,2689,
408470665,-802626830,2689,
408470662,-802626785,2689,
408470656,-802626740,2690,
408470645,-802626706,2690,
408470643,-802626658,2690,
408470637,-802626616,2690,
408470625,-802626579,2690,
408470619,-802626538,2690,
408470609,-802626501,2691,
408470600,-802626463,2691,
408470593,-802626426,2691,
408470586,-802626388,2691,
408470570,-802626360,2692,
408470558,-802626326,2692,
408470545,-802626290,2692,
408470532,-802626256,2692,
408470517,-802626226,2692,
408470503,-802626199,2692,
408470501,-802626175,2690,
408470486,-802626156,2690,
408470473,-802626137,2690,
408470462,-802626117,2690,
408470447,-802626098,2691,
408470434,-802626081,2691,
408470426,-802626062,2690,
408470426,-802626062,2690,
408470414,-802626045,2690,
408470395,-802626019,2691,
408470376,-802626009,2692,
408470369,-802626002,2692,
408470369,-802626002,2692,
408470362,-802625991,2692,
408470356,-802625984,2692,
408470347,-802625974,2692,
408470341,-802625968,2692,
408470338,-802625957,2692,
408470327,-802625945,2692,
408470324,-802625940,2692,
408470308,-802625944,2693,
408470306,-802625943,2693,
408470306,-802625943,2693,
408470302,-802625939,2693,
408470299,-802625936,2693,
408470297,-802625934,2693,
408470297,-802625930,2693,
408470295,-802625928,2693,
408470293,-802625930,2693,
408470294,-802625927,2693,
408470283,-802625930,2694,
408470284,-802625933,2694,
408470285,-802625935,2694,
408470285,-802625934,2694,
408470285,-802625935,2694,
408470285,-802625936,2694,
408470285,-802625935,2694,
408470286,-802625935,2694,
408470285,-802625935,2694,
408470285,-802625935,2694,
408470285,-802625946,2695,
408470285,-802625947,2695,
408470286,-802625947,2695,
408470285,-802625946,2695,
408470285,-802625946,2695,
408470286,-802625946,2695,
408470286,-802625948,2695,
408470285,-802625947,2695,
408470285,-802625947,2695,
408470285,-802625948,2696,
408470284,-802625948,2695,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470289,-802625954,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
408470287,-802625958,2696,
