lat,long,elev,timediff
408467033,-802589145,2741,02:55.4
408467039,-802589147,2741,02:55.4
408467047,-802589148,2741,02:55.5
408467051,-802589144,2741,02:55.6
408467059,-802589144,2741,02:55.7
408467065,-802589146,2741,02:55.8
408467073,-802589146,2741,02:55.9
408467081,-802589145,2741,02:56.0
408467091,-802589144,2741,02:56.1
408467100,-802589118,2741,02:56.3
408467109,-802589115,2741,02:56.3
408467119,-802589117,2741,02:56.4
408467131,-802589115,2741,02:56.5
408467139,-802589111,2741,02:56.6
408467146,-802589109,2741,02:56.7
408467160,-802589106,2741,02:56.8
408467169,-802589102,2741,02:56.9
408467182,-802589100,2741,02:57.0
408467189,-802589095,2741,02:57.1
408467221,-802589091,2740,02:57.2
408467229,-802589087,2739,02:57.4
408467237,-802589080,2739,02:57.4
408467245,-802589074,2739,02:57.5
408467250,-802589069,2739,02:57.6
408467259,-802589065,2739,02:57.7
408467262,-802589059,2739,02:57.8
408467268,-802589055,2739,02:57.9
408467271,-802589051,2739,02:58.0
408467274,-802589048,2739,02:58.1
408467271,-802589018,2740,02:58.2
408467272,-802589016,2740,02:58.3
408467275,-802589017,2740,02:58.4
408467275,-802589016,2740,02:58.5
408467274,-802589015,2740,02:58.6
408467273,-802589016,2740,02:58.7
408467272,-802589017,2740,02:58.8
408467271,-802589017,2740,02:58.9
408467271,-802589017,2740,02:59.0
408467271,-802589015,2740,02:59.1
408467294,-802589018,2742,02:59.2
408467294,-802589018,2742,02:59.3
408467294,-802589018,2742,02:59.4
408467294,-802589018,2742,02:59.5
408467294,-802589018,2742,02:59.6
408467294,-802589018,2742,02:59.7
408467294,-802589018,2742,02:59.8
408467294,-802589018,2742,02:59.9
408467294,-802589018,2742,03:00.0
408467294,-802589018,2742,03:00.1
408467298,-802589014,2742,03:00.2
408467298,-802589014,2742,03:00.3
408467298,-802589014,2742,03:00.4
408467298,-802589014,2742,03:00.5
408467298,-802589014,2742,03:00.6
408467298,-802589014,2742,03:00.7
408467298,-802589014,2742,03:00.8
408467298,-802589014,2742,03:00.9
408467298,-802589014,2742,03:01.0
408467298,-802589014,2742,03:01.1
408467298,-802589014,2742,03:01.2
408467298,-802589014,2742,03:01.3
408467298,-802589014,2742,03:01.4
408467298,-802589014,2742,03:01.5
408467298,-802589014,2742,03:01.6
408467298,-802589014,2742,03:01.7
408467298,-802589014,2742,03:01.8
408467298,-802589014,2742,03:01.9
408467298,-802589014,2742,03:02.0
408467298,-802589014,2742,03:02.1
408467298,-802589014,2742,03:02.2
408467245,-802589036,2742,03:02.3
408467232,-802589050,2742,03:02.4
408467221,-802589062,2742,03:02.5
408467206,-802589077,2742,03:02.6
408467194,-802589093,2741,03:02.7
408467182,-802589115,2741,03:02.8
408467165,-802589138,2741,03:02.9
408467149,-802589159,2741,03:03.0
408467137,-802589187,2742,03:03.1
408467122,-802589213,2741,03:03.2
408467106,-802589223,2743,03:03.3
408467089,-802589259,2744,03:03.4
408467071,-802589292,2743,03:03.5
408467058,-802589326,2743,03:03.6
408467046,-802589369,2744,03:03.7
408467037,-802589410,2744,03:03.8
408467028,-802589450,2744,03:03.9
408467014,-802589498,2744,00:03:04
