lat,long,elev
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648610,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305310,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305311,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648609,-778305312,3333
408648664,-778305338,3330
408648678,-778305335,3330
408648694,-778305331,3330
408648711,-778305325,3330
408648731,-778305320,3330
408648754,-778305315,3330
408648776,-778305307,3330
408648801,-778305300,3330
408648829,-778305291,3331
408648856,-778305281,3330
408648883,-778305257,3332
408648918,-778305248,3332
408648948,-778305236,3332
408648984,-778305234,3331
408649017,-778305221,3332
408649055,-778305216,3331
408649089,-778305206,3332
408649127,-778305199,3332
408649162,-778305189,3332
408649205,-778305182,3332
408649228,-778305149,3333
408649272,-778305140,3333
408649312,-778305131,3333
408649355,-778305124,3333
408649401,-778305115,3334
408649445,-778305107,3334
408649488,-778305102,3334
408649534,-778305093,3334
408649584,-778305090,3335
408649634,-778305083,3335
408649675,-778305076,3335
408649731,-778305075,3336
408649784,-778305069,3335
408649838,-778305066,3335
408649894,-778305063,3335
408649951,-778305059,3335
408650009,-778305055,3335
408650070,-778305057,3335
408650131,-778305049,3335
408650191,-778305048,3336
408650258,-778305041,3336
408650325,-778305040,3336
408650391,-778305038,3336
408650455,-778305039,3336
408650592,-778305039,3336
408650663,-778305044,3336
408650663,-778305044,3336
408650731,-778305043,3336
408650800,-778305044,3336
408650873,-778305048,3337
408650941,-778305043,3338
408651018,-778305048,3337
408651091,-778305054,3338
408651166,-778305059,3338
408651241,-778305065,3338
408651392,-778305084,3338
408651470,-778305093,3338
408651549,-778305105,3339
408651549,-778305105,3339
408651628,-778305116,3339
408651704,-778305122,3340
408651787,-778305140,3339
408651867,-778305157,3340
408651946,-778305175,3340
408652030,-778305196,3340
408652113,-778305218,3340
408652196,-778305242,3339
408652279,-778305267,3340
408652364,-778305294,3340
408652448,-778305323,3340
408652531,-778305342,3341
408652620,-778305375,3340
408652705,-778305408,3341
408652790,-778305441,3341
408652876,-778305475,3341
408652963,-778305507,3341
408653044,-778305547,3341
408653129,-778305583,3341
408653211,-778305621,3341
408653296,-778305660,3341
408653382,-778305677,3342
408653466,-778305723,3342
408653549,-778305767,3342
408653633,-778305808,3342
408653714,-778305856,3342
408653796,-778305905,3342
408653877,-778305956,3342
408653959,-778306007,3342
408654039,-778306058,3342
408654120,-778306109,3343
408654195,-778306159,3343
408654276,-778306217,3343
408654356,-778306273,3343
408654435,-778306334,3343
408654515,-778306392,3343
408654595,-778306453,3343
408654672,-778306517,3343
408654751,-778306581,3344
408654831,-778306647,3343
408654908,-778306714,3344
408654988,-778306767,3343
408655065,-778306841,3343
408655140,-778306913,3343
408655217,-778306986,3343
408655292,-778307060,3344
408655366,-778307137,3343
408655441,-778307217,3344
408655516,-778307295,3344
408655592,-778307375,3344
408655665,-778307457,3344
408655741,-778307525,3346
408655813,-778307613,3346
408655886,-778307699,3346
