lat,long,elev
404296083,-798733467,2920
404296058,-798733496,2920
404296032,-798733529,2920
404296005,-798733559,2920
404295977,-798733593,2919
404295952,-798733625,2919
404295926,-798733658,2919
404295901,-798733688,2919
404295873,-798733721,2919
404295845,-798733752,2919
404295821,-798733784,2919
404295795,-798733819,2919
404295767,-798733850,2919
404295745,-798733882,2919
404295719,-798733917,2919
404295692,-798733950,2919
404295664,-798733984,2918
404295636,-798734017,2918
404295606,-798734051,2918
404295579,-798734084,2918
404295550,-798734120,2918
404295524,-798734155,2918
404295497,-798734189,2918
404295497,-798734189,2918
404295441,-798734255,2918
404295413,-798734289,2917
404295385,-798734325,2917
404295356,-798734359,2918
404295356,-798734359,2918
404295327,-798734395,2918
404295299,-798734427,2918
404295270,-798734465,2917
404295241,-798734500,2918
404295212,-798734536,2918
404295182,-798734573,2917
404295154,-798734609,2917
404295124,-798734645,2917
404295094,-798734680,2917
404295064,-798734717,2917
404295031,-798734755,2917
404295002,-798734793,2917
404294969,-798734831,2916
404294939,-798734868,2916
404294908,-798734906,2916
404294879,-798734946,2916
404294847,-798734983,2916
404294816,-798735023,2916
404294784,-798735063,2916
404294752,-798735101,2916
404294720,-798735141,2916
404294688,-798735179,2917
404294657,-798735220,2917
404294625,-798735257,2917
404294591,-798735298,2917
404294562,-798735339,2916
404294530,-798735376,2916
404294497,-798735420,2916
404294466,-798735458,2917
404294433,-798735500,2917
404294400,-798735538,2917
404294366,-798735579,2917
404294337,-798735619,2917
404294302,-798735659,2916
404294272,-798735699,2917
404294246,-798735739,2917
404294214,-798735778,2917
404294182,-798735819,2917
404294151,-798735858,2917
404294087,-798735940,2917
404294087,-798735940,2917
404294055,-798735980,2918
404294023,-798736020,2918
404293991,-798736058,2918
404293961,-798736099,2918
404293934,-798736138,2918
404293903,-798736176,2918
404293870,-798736218,2918
404293837,-798736258,2919
404293805,-798736300,2919
404293772,-798736340,2919
404293737,-798736383,2919
404293706,-798736427,2919
404293672,-798736470,2920
404293637,-798736513,2919
404293604,-798736561,2919
404293569,-798736606,2919
404293535,-798736648,2920
404293501,-798736693,2920
404293466,-798736739,2920
404293430,-798736783,2920
404293393,-798736828,2920
404293359,-798736871,2921
404293323,-798736917,2921
404293288,-798736962,2921
404293251,-798737008,2921
404293214,-798737052,2921
404293179,-798737094,2921
404293142,-798737139,2922
404293106,-798737183,2922
404293074,-798737228,2922
404293037,-798737268,2923
404293000,-798737311,2923
404292966,-798737355,2923
404292930,-798737397,2924
404292893,-798737442,2923
