lat,long,elev,timediff
404419747,-797609691,3261,1:20:52.620000
404419747,-797609691,3261,1:20:52.720000
404419747,-797609691,3261,1:20:52.820000
404419747,-797609691,3261,1:20:52.920000
404419747,-797609691,3261,1:20:53.020000
404419747,-797609691,3261,1:20:53.110000
404419747,-797609691,3261,1:20:53.210000
404419747,-797609691,3261,1:20:53.310000
404419747,-797609691,3261,1:20:53.410000
404419747,-797609691,3261,1:20:53.510000
404419745,-797609690,3261,1:20:53.610000
404419745,-797609690,3261,1:20:53.710000
404419745,-797609690,3261,1:20:53.810000
404419745,-797609690,3261,1:20:53.910000
404419745,-797609690,3261,1:20:54.010000
404419745,-797609690,3261,1:20:54.110000
404419745,-797609690,3261,1:20:54.210000
404419745,-797609690,3261,1:20:54.310000
404419745,-797609690,3261,1:20:54.410000
404419745,-797609690,3261,1:20:54.520000
404419750,-797609688,3261,1:20:54.710000
404419750,-797609688,3261,1:20:54.810000
404419750,-797609688,3261,1:20:54.910000
404419750,-797609688,3261,1:20:55.010000
404419750,-797609688,3261,1:20:55.110000
404419750,-797609688,3261,1:20:55.210000
404419750,-797609688,3261,1:20:55.310000
404419750,-797609688,3261,1:20:55.410000
404419750,-797609688,3261,1:20:55.510000
404419750,-797609688,3261,1:20:55.510000
404419752,-797609669,3259,1:20:55.620000
404419752,-797609669,3259,1:20:55.720000
404419752,-797609669,3259,1:20:55.820000
404419752,-797609669,3259,1:20:55.920000
404419752,-797609669,3259,1:20:56.020000
404419752,-797609669,3259,1:20:56.120000
404419752,-797609670,3259,1:20:56.220000
404419752,-797609669,3259,1:20:56.320000
404419752,-797609669,3259,1:20:56.420000
404419752,-797609669,3259,1:20:56.520000
404419752,-797609669,3259,1:20:56.620000
404419752,-797609669,3259,1:20:56.720000
404419752,-797609669,3259,1:20:56.820000
404419752,-797609669,3259,1:20:56.920000
404419752,-797609669,3259,1:20:57.020000
404419752,-797609669,3259,1:20:57.120000
404419752,-797609669,3259,1:20:57.220000
404419752,-797609669,3259,1:20:57.320000
404419752,-797609669,3259,1:20:57.420000
404419752,-797609669,3259,1:20:57.520000
404419754,-797609657,3258,1:20:57.620000
404419754,-797609657,3258,1:20:57.720000
404419754,-797609657,3258,1:20:57.820000
404419754,-797609657,3258,1:20:57.920000
404419754,-797609657,3258,1:20:58.020000
404419754,-797609657,3258,1:20:58.120000
404419754,-797609657,3258,1:20:58.220000
404419754,-797609657,3258,1:20:58.320000
404419754,-797609657,3258,1:20:58.420000
404419754,-797609657,3258,1:20:58.520000
404419757,-797609643,3257,1:20:58.620000
404419757,-797609643,3257,1:20:58.720000
404419757,-797609643,3257,1:20:58.820000
404419757,-797609643,3257,1:20:58.920000
404419757,-797609643,3257,1:20:59.020000
404419757,-797609643,3257,1:20:59.120000
404419757,-797609643,3257,1:20:59.220000
404419757,-797609643,3257,1:20:59.320000
404419757,-797609643,3257,1:20:59.420000
404419757,-797609643,3257,1:20:59.520000
404419758,-797609628,3255,1:20:59.620000
404419758,-797609628,3255,1:20:59.720000
404419758,-797609628,3255,1:20:59.820000
404419758,-797609628,3255,1:20:59.920000
404419758,-797609628,3255,1:21:00.020000
404419758,-797609628,3255,1:21:00.120000
404419758,-797609628,3255,1:21:00.230000
404419758,-797609628,3255,1:21:00.320000
404419758,-797609628,3255,1:21:00.420000
404419758,-797609628,3255,1:21:00.520000
404419759,-797609626,3255,1:21:00.620000
404419759,-797609626,3255,1:21:00.720000
404419759,-797609626,3255,1:21:00.820000
404419759,-797609626,3255,1:21:00.920000
404419759,-797609626,3255,1:21:01.020000
404419759,-797609626,3255,1:21:01.120000
404419759,-797609626,3255,1:21:01.220000
404419759,-797609626,3255,1:21:01.320000
404419759,-797609626,3255,1:21:01.420000
404419759,-797609626,3255,1:21:01.520000
404419764,-797609606,3253,1:21:01.620000
404419764,-797609606,3253,1:21:01.720000
404419764,-797609606,3253,1:21:01.820000
404419764,-797609606,3253,1:21:01.920000
404419764,-797609606,3253,1:21:02.020000
404419764,-797609606,3253,1:21:02.120000
404419764,-797609606,3253,1:21:02.220000
404419764,-797609606,3253,1:21:02.320000
404419764,-797609606,3253,1:21:02.420000
404419764,-797609606,3253,1:21:02.520000
404419768,-797609591,3251,1:21:02.620000
404419768,-797609591,3251,1:21:02.720000
404419768,-797609591,3251,1:21:02.820000
404419768,-797609591,3251,1:21:02.920000
404419768,-797609591,3251,1:21:03.020000
404419768,-797609591,3251,1:21:03.120000
404419768,-797609591,3251,1:21:03.220000
404419768,-797609591,3251,1:21:03.320000
404419768,-797609591,3251,1:21:03.420000
404419768,-797609591,3251,1:21:03.520000
404419768,-797609565,3248,1:21:03.620000
404419768,-797609565,3248,1:21:03.720000
404419768,-797609565,3248,1:21:03.820000
404419768,-797609565,3248,1:21:03.920000
404419768,-797609565,3248,1:21:04.020000
404419768,-797609565,3248,1:21:04.120000
404419768,-797609565,3248,1:21:04.220000
404419768,-797609565,3248,1:21:04.320000
404419768,-797609565,3248,1:21:04.420000
404419768,-797609565,3248,1:21:04.520000
404419787,-797609500,3245,1:21:04.620000
404419791,-797609490,3245,1:21:04.720000
404419792,-797609475,3246,1:21:04.820000
404419794,-797609464,3246,1:21:04.920000
404419801,-797609451,3245,1:21:05.020000
404419801,-797609437,3245,1:21:05.120000
404419806,-797609421,3246,1:21:05.220000
404419811,-797609408,3245,1:21:05.320000
404419816,-797609393,3246,1:21:05.420000
404419820,-797609377,3246,1:21:05.520000
404419797,-797609379,3246,1:21:05.620000
404419805,-797609358,3246,1:21:05.730000
404419812,-797609343,3246,1:21:05.820000
404419820,-797609326,3246,1:21:05.920000
404419832,-797609302,3246,1:21:06.020000
404419843,-797609284,3247,1:21:06.120000
404419851,-797609263,3247,1:21:06.220000
404419867,-797609244,3246,1:21:06.320000
404419874,-797609220,3247,1:21:06.420000
404419895,-797609196,3246,1:21:06.520000
404419923,-797609142,3247,1:21:06.620000
404419940,-797609115,3247,1:21:06.720000
404419960,-797609093,3247,1:21:06.820000
404419975,-797609066,3247,1:21:06.920000
