lat,long,elev,timediff
404420328,-797608948,3282,56:59.6
404420328,-797608943,3282,56:59.7
404420330,-797608936,3282,56:59.8
404420332,-797608929,3281,56:59.9
404420332,-797608917,3282,01:57:00
404420335,-797608911,3281,57:00.1
404420337,-797608901,3282,57:00.2
404420336,-797608893,3282,57:00.3
404420338,-797608880,3281,57:00.4
404420340,-797608871,3282,57:00.5
404420344,-797608818,3280,57:00.6
404420345,-797608806,3280,57:00.7
404420349,-797608796,3280,57:00.8
404420350,-797608782,3280,57:00.9
404420352,-797608770,3280,01:57:01
404420353,-797608758,3279,57:01.1
404420356,-797608741,3280,57:01.2
404420362,-797608733,3280,57:01.3
404420362,-797608711,3279,57:01.4
404420367,-797608698,3279,57:01.5
404420357,-797608678,3281,57:01.6
404420359,-797608658,3281,57:01.7
404420365,-797608640,3281,57:01.8
404420369,-797608624,3281,57:01.9
404420374,-797608602,3281,57:02.0
404420381,-797608582,3280,57:02.1
404420388,-797608558,3281,57:02.2
404420395,-797608535,3281,57:02.3
404420404,-797608514,3281,57:02.4
404420416,-797608492,3280,57:02.5
404420411,-797608455,3281,57:02.6
404420428,-797608425,3281,57:02.7
404420436,-797608401,3280,57:02.8
404420448,-797608375,3280,57:02.9
404420458,-797608349,3280,01:57:03
404420472,-797608315,3281,57:03.1
404420487,-797608291,3282,57:03.2
404420499,-797608262,3282,57:03.3
404420512,-797608233,3282,57:03.4
404420532,-797608208,3281,57:03.5
404420539,-797608189,3281,57:03.6
404420556,-797608154,3282,57:03.7
404420578,-797608138,3281,57:03.8
404420595,-797608112,3281,57:03.9
404420618,-797608081,3281,57:04.0
404420636,-797608052,3281,57:04.1
404420659,-797608024,3280,57:04.2
404420674,-797607995,3281,57:04.3
404420694,-797607964,3282,57:04.4
404420718,-797607942,3282,57:04.5
404420756,-797607894,3279,57:04.6
404420784,-797607868,3279,57:04.7
404420807,-797607839,3279,57:04.8
404420832,-797607811,3278,57:04.9
404420881,-797607762,3278,57:05.1
404420906,-797607735,3278,57:05.2
404420933,-797607711,3278,57:05.3
404420959,-797607692,3278,57:05.4
404420988,-797607668,3278,57:05.5
404421000,-797607609,3276,57:05.6
404421029,-797607583,3275,57:05.7
404421057,-797607557,3275,57:05.8
404421084,-797607534,3275,57:05.9
404421108,-797607511,3274,57:06.0
404421134,-797607486,3275,57:06.1
404421163,-797607468,3275,57:06.2
404421188,-797607440,3275,57:06.3
404421245,-797607394,3274,57:06.5
404421273,-797607359,3272,57:06.6
404421301,-797607333,3272,57:06.7
404421327,-797607311,3272,57:06.8
404421357,-797607289,3272,57:06.9
404421389,-797607259,3272,57:07.0
404421419,-797607238,3272,57:07.1
404421446,-797607212,3271,57:07.2
404421473,-797607190,3271,57:07.3
404421500,-797607166,3271,57:07.4
404421526,-797607146,3270,57:07.5
404421555,-797607099,3269,57:07.6
404421577,-797607078,3269,57:07.7
404421622,-797607036,3269,57:07.9
404421646,-797607016,3270,57:08.0
404421672,-797606996,3270,57:08.1
404421696,-797606969,3270,57:08.2
404421717,-797606946,3271,57:08.3
404421742,-797606927,3271,57:08.4
404421766,-797606898,3270,57:08.5
404421778,-797606848,3272,57:08.6
404421800,-797606823,3271,57:08.6
404421818,-797606797,3271,57:08.8
404421843,-797606768,3271,57:08.9
404421868,-797606740,3271,57:09.0
404421892,-797606718,3270,57:09.0
404421892,-797606718,3270,57:09.2
404421917,-797606693,3269,57:09.3
404421939,-797606666,3269,57:09.4
404421976,-797606607,3269,57:09.5
404421976,-797606607,3269,57:09.6
404422004,-797606544,3271,57:09.8
404422022,-797606518,3271,57:09.8
404422043,-797606491,3271,57:09.9
404422067,-797606464,3270,57:10.1
404422080,-797606425,3270,57:10.1
404422099,-797606401,3270,57:10.2
404422118,-797606373,3269,57:10.3
404422134,-797606337,3270,57:10.4
404422157,-797606311,3268,57:10.5
404422166,-797606302,3269,57:10.6
404422184,-797606279,3268,57:10.7
404422203,-797606243,3269,57:10.8
404422218,-797606207,3268,57:10.9
404422231,-797606177,3268,57:11.0
404422247,-797606144,3267,57:11.1
404422266,-797606116,3266,57:11.5
404422285,-797606083,3265,57:11.5
404422300,-797606047,3265,57:11.5
404422316,-797606005,3265,57:11.5
404422326,-797605965,3263,57:12.0
404422340,-797605931,3263,57:12.0
404422348,-797605892,3262,57:12.1
404422360,-797605856,3262,57:12.5
404422378,-797605826,3261,57:12.5
404422391,-797605788,3261,57:12.5
404422401,-797605754,3260,57:12.5
404422410,-797605723,3260,57:12.5
404422422,-797605681,3260,57:13.0
404422426,-797605649,3260,57:13.0
404422431,-797605598,3260,57:13.0
404422442,-797605562,3260,57:13.4
404422448,-797605530,3259,57:13.5
404422456,-797605493,3259,57:13.5
404422464,-797605461,3258,57:13.5
404422467,-797605395,3258,57:13.5
404422472,-797605358,3258,57:13.9
404422476,-797605328,3257,57:14.0
404422482,-797605292,3257,57:14.0
404422476,-797605252,3257,57:14.0
404422478,-797605216,3257,57:14.4
404422475,-797605186,3257,57:14.4
404422480,-797605142,3257,57:14.5
404422486,-797605076,3257,57:14.5
404422487,-797605039,3256,57:14.5
404422481,-797605013,3254,57:14.9
404422481,-797604980,3254,57:14.9
404422481,-797604920,3253,57:15.0
404422476,-797604848,3253,57:15.0
404422477,-797604811,3253,57:15.0
404422463,-797604752,3252,57:15.4
404422400,-797604553,3250,57:16.0
404422373,-797604466,3249,57:16.4
404422017,-797603967,3247,57:18.0
404421958,-797603925,3246,57:18.2
404421906,-797603895,3245,57:18.4
404421855,-797603866,3245,57:18.6
404421789,-797603833,3245,57:18.8
404419143,-797605510,3246,57:24.3
404418364,-797606737,3251,57:25.8
404418067,-797607386,3253,57:26.5
404418003,-797607586,3255,57:26.7
404417961,-797607691,3256,57:26.8
404417820,-797608101,3258,57:27.2
404417784,-797608201,3258,57:27.3
404417715,-797608421,3260,57:27.5
404417691,-797608523,3262,57:27.6
404417615,-797608858,3261,57:27.9
404417542,-797609202,3263,57:28.2
404417518,-797609317,3264,57:28.3
404417497,-797609439,3265,57:28.4
404417488,-797609553,3265,57:28.5
404417435,-797609798,3266,57:28.7
404417412,-797609926,3267,57:28.8
404417389,-797610057,3268,57:28.9
404417375,-797610179,3269,01:57:29
404417359,-797610310,3270,57:29.1
404417356,-797610425,3269,57:29.2
404417350,-797610555,3270,57:29.3
404417343,-797610684,3270,57:29.4
404417352,-797610803,3269,57:29.5
404417354,-797610929,3272,57:29.6
404417352,-797611049,3272,57:29.7
404417353,-797611187,3273,57:29.8
404417356,-797611315,3273,57:29.9
404417358,-797611446,3274,57:30.0
404417366,-797611574,3274,57:30.1
404417367,-797611710,3274,57:30.2
404417382,-797611839,3275,57:30.3
404417401,-797611967,3275,57:30.4
404417423,-797612098,3277,57:30.5
404417428,-797612226,3279,57:30.6
404417449,-797612358,3279,57:30.7
404417466,-797612496,3279,57:30.8
404417488,-797612624,3279,57:30.9
404417513,-797612756,3280,57:31.0
404417539,-797612886,3281,57:31.1
404417570,-797613018,3282,57:31.2
404417600,-797613146,3282,57:31.3
404417635,-797613282,3283,57:31.4
404417670,-797613418,3284,57:31.5
404417690,-797613555,3288,57:31.6
404417730,-797613685,3289,57:31.7
404417769,-797613809,3289,57:31.8
404417811,-797613940,3289,57:31.9
404417856,-797614073,3290,57:32.0
404417900,-797614198,3291,57:32.1
404417945,-797614334,3292,57:32.2
404417991,-797614466,3293,57:32.3
404418037,-797614591,3293,57:32.4
404418090,-797614715,3294,57:32.5
404418127,-797614865,3296,57:32.6
404418176,-797614997,3297,57:32.7
404418240,-797615126,3299,57:32.8
404418291,-797615253,3299,57:32.9
404418346,-797615387,3300,57:33.0
404418402,-797615515,3301,57:33.1
404418457,-797615641,3302,57:33.2
404418511,-797615768,3302,57:33.3
404418565,-797615892,3303,57:33.4
404418625,-797616021,3304,57:33.5
404418682,-797616149,3303,57:33.6
404418747,-797616273,3304,57:33.7
404418805,-797616404,3304,57:33.8
404418871,-797616533,3305,57:33.9
404418930,-797616658,3305,57:34.0
404418992,-797616787,3305,57:34.1
404419056,-797616919,3306,57:34.2
404419112,-797617041,3307,57:34.3
404419179,-797617168,3306,57:34.4
404419243,-797617294,3307,57:34.5
404419301,-797617412,3309,57:34.6
404419364,-797617541,3310,57:34.7
404419430,-797617664,3310,57:34.8
404419492,-797617789,3310,57:34.9
404419556,-797617916,3310,57:35.0
404419616,-797618034,3310,57:35.1
404419683,-797618163,3310,57:35.2
404419749,-797618286,3311,57:35.3
404419816,-797618415,3311,57:35.4
404419882,-797618541,3311,57:35.5
404419936,-797618656,3312,57:35.6
404420000,-797618781,3312,57:35.7
404420067,-797618901,3312,57:35.8
404420129,-797619023,3312,57:35.9
404420196,-797619148,3312,57:36.0
404420258,-797619265,3312,57:36.1
404420324,-797619392,3312,57:36.2
404420385,-797619503,3313,57:36.3
404420445,-797619625,3313,57:36.4
404420511,-797619747,3313,57:36.5
404420574,-797619861,3314,57:36.6
404420640,-797619978,3314,57:36.7
404420700,-797620093,3314,57:36.8
404420762,-797620211,3314,57:36.9
404420826,-797620332,3314,57:37.0
404420885,-797620444,3315,57:37.1
404420952,-797620564,3315,57:37.2
404421014,-797620675,3315,57:37.3
404421077,-797620796,3315,57:37.4
404421139,-797620908,3316,57:37.5
404421210,-797621029,3316,57:37.6
404421270,-797621142,3316,57:37.7
404421332,-797621260,3315,57:37.8
404421397,-797621372,3314,57:37.9
404421456,-797621486,3314,57:38.0
404421519,-797621600,3314,57:38.1
404421580,-797621714,3314,57:38.2
404421649,-797621828,3314,57:38.3
404421708,-797621939,3313,57:38.4
404421768,-797622054,3313,57:38.5
404421841,-797622165,3312,57:38.6
404421960,-797622378,3311,57:38.8
404422266,-797622913,3308,57:39.3
404422426,-797623223,3308,57:39.6
404422542,-797623412,3308,57:39.8
404422601,-797623502,3308,57:39.9
404422919,-797624042,3307,57:40.6
404423127,-797624366,3307,01:57:41
404423433,-797624822,3306,57:41.7
404420550,-797625810,3302,21:15.5
404420387,-797625572,3303,21:15.6
404420218,-797625326,3303,21:15.7
404420057,-797625085,3302,21:15.7
404419890,-797624815,3301,21:15.9
404419736,-797624584,3301,21:16.0
404419736,-797624584,3301,21:16.1
404419415,-797624122,3300,21:16.3
404419090,-797623647,3300,21:16.5
404418927,-797623415,3299,21:16.6
404418730,-797623157,3306,21:16.7
404418562,-797622923,3306,21:16.8
404418390,-797622683,3307,21:16.9
404418225,-797622449,3308,21:17.0
404418047,-797622211,3308,21:17.1
404417882,-797621984,3309,21:17.2
404417712,-797621753,3309,21:17.3
404417544,-797621517,3310,21:17.4
404417377,-797621287,3310,21:17.4
404417204,-797621056,3311,21:17.6
404417040,-797620826,3312,21:17.7
404416868,-797620592,3312,21:17.8
404416705,-797620369,3312,21:17.9
404416533,-797620140,3313,21:18.0
404416361,-797619907,3313,21:18.1
404416195,-797619683,3314,21:18.2
404416022,-797619450,3314,21:18.3
404415855,-797619220,3315,21:18.4
404415684,-797618993,3315,21:18.5
404415521,-797618771,3316,21:18.5
404415179,-797618320,3318,21:18.7
404415010,-797618090,3318,21:18.8
404414842,-797617870,3319,21:18.8
404414673,-797617647,3320,21:19.0
404414504,-797617421,3320,21:19.1
404414339,-797617202,3321,21:19.2
404414170,-797616978,3322,21:19.3
404414005,-797616757,3322,21:19.3
404413837,-797616533,3322,21:19.5
404413670,-797616317,3322,21:19.5
404413505,-797616100,3323,21:19.7
404413337,-797615877,3323,21:19.8
404413172,-797615659,3324,21:19.9
404413004,-797615440,3325,21:20.0
404412838,-797615225,3325,21:20.0
404412673,-797615008,3325,21:20.2
404412510,-797614794,3326,21:20.3
404412344,-797614577,3326,21:20.4
404412181,-797614366,3327,21:20.4
404412012,-797614151,3328,21:20.5
404411851,-797613945,3329,21:20.7
404411194,-797613098,3329,21:21.1
404414388,-797604476,3269,21:57.7
404417147,-797603646,3256,21:59.9
404421830,-797602356,3248,22:06.4
404422449,-797604818,3274,22:10.7
404422436,-797605092,3276,22:11.2
404422417,-797605211,3275,22:11.4
404422416,-797605319,3274,22:11.6
404422406,-797605369,3274,22:11.7
404422296,-797605830,3284,22:12.6
404422273,-797605884,3282,22:12.7
404422231,-797605984,3283,22:12.9
404422187,-797606089,3284,22:13.1
404422160,-797606140,3285,22:13.2
404422132,-797606186,3284,22:13.3
404422103,-797606236,3284,22:13.4
404422081,-797606285,3285,22:13.5
404422068,-797606337,3285,22:13.6
404422043,-797606389,3285,22:13.7
404422011,-797606433,3285,22:13.8
404421988,-797606482,3285,22:13.9
404421964,-797606525,3285,22:14.0
404421931,-797606569,3285,22:14.1
404421916,-797606615,3286,22:14.2
404421886,-797606660,3285,22:14.3
404421868,-797606704,3285,22:14.4
404421846,-797606748,3286,22:14.5
404421827,-797606808,3284,22:14.6
404421807,-797606850,3285,22:14.7
404421766,-797606938,3285,22:14.9
404421747,-797606982,3286,22:15.0
404421727,-797607024,3286,22:15.1
404421713,-797607067,3287,22:15.2
404421687,-797607110,3287,22:15.3
404421673,-797607157,3287,22:15.4
404421655,-797607204,3286,22:15.5
404421648,-797607244,3288,22:15.6
404421627,-797607299,3288,22:15.7
404421618,-797607339,3289,22:15.8
404421606,-797607386,3288,22:15.9
404421596,-797607434,3288,22:16.0
404421584,-797607488,3288,22:16.1
404421566,-797607532,3289,22:16.2
404421552,-797607579,3289,22:16.3
404421545,-797607630,3287,22:16.4
404421540,-797607681,3287,22:16.5
404421534,-797607742,3287,22:16.6
404421530,-797607791,3288,22:16.7
404421523,-797607842,3289,22:16.8
404421510,-797607890,3289,22:16.9
404421505,-797607941,3288,22:17.0
404421495,-797607993,3288,22:17.1
404421483,-797608044,3289,22:17.2
404421472,-797608093,3290,22:17.3
404421471,-797608153,3289,22:17.4
404421460,-797608202,3290,22:17.5
404421464,-797608244,3291,22:17.6
404421462,-797608300,3291,22:17.7
404421464,-797608357,3292,22:17.8
404421459,-797608408,3292,22:17.9
404421447,-797608455,3292,22:18.0
404421435,-797608509,3291,22:18.1
404421431,-797608562,3291,22:18.2
404421430,-797608616,3290,22:18.3
404421420,-797608665,3289,22:18.4
404421416,-797608718,3291,22:18.5
404421420,-797608777,3292,22:18.6
404421405,-797608821,3293,22:18.7
404421408,-797608868,3293,22:18.8
404421408,-797608918,3292,22:18.9
404421409,-797608963,3292,22:19.0
404421405,-797609008,3293,22:19.1
404421397,-797609049,3290,22:19.2
404421392,-797609095,3289,22:19.3
404421389,-797609140,3288,22:19.4
404421393,-797609179,3288,22:19.5
404421406,-797609230,3289,22:19.6
404421398,-797609273,3288,22:19.7
404421390,-797609316,3288,22:19.8
404421385,-797609355,3288,22:19.9
404421391,-797609389,3290,22:20.0
404421389,-797609433,3290,22:20.1
404421373,-797609465,3291,22:20.2
404421369,-797609502,3292,22:20.3
404421365,-797609538,3292,22:20.4
404421359,-797609579,3294,22:20.5
404421361,-797609616,3293,22:20.6
404421345,-797609644,3294,22:20.7
404421333,-797609673,3294,22:20.8
