lat,long,elev,timediff
399949940,-794457854,4639,0:03:21.810000
399949940,-794457854,4639,0:03:21.910000
399949940,-794457854,4639,0:03:22.020000
399949940,-794457854,4639,0:03:22.110000
399949940,-794457854,4639,0:03:22.210000
399949940,-794457854,4639,0:03:22.320000
399949940,-794457854,4639,0:03:22.410000
399949940,-794457854,4639,0:03:22.510000
399949945,-794457861,4639,0:03:22.620000
399949945,-794457861,4639,0:03:22.710000
399949945,-794457861,4639,0:03:22.810000
399949945,-794457861,4639,0:03:22.910000
399949945,-794457861,4639,0:03:23.010000
399949945,-794457861,4639,0:03:23.120000
399949945,-794457861,4639,0:03:23.220000
399949945,-794457861,4639,0:03:23.310000
399949945,-794457861,4639,0:03:23.410000
399949945,-794457861,4639,0:03:23.510000
399949945,-794457861,4639,0:03:23.620000
399949945,-794457861,4639,0:03:23.710000
399949945,-794457861,4639,0:03:23.810000
399949945,-794457861,4639,0:03:23.910000
399949945,-794457861,4639,0:03:24.010000
399949945,-794457861,4639,0:03:24.110000
399949945,-794457861,4639,0:03:24.210000
399949945,-794457861,4639,0:03:24.310000
399949945,-794457861,4639,0:03:24.410000
399949945,-794457861,4639,0:03:24.510000
399949945,-794457861,4639,0:03:24.610000
399949945,-794457861,4639,0:03:24.720000
399949945,-794457861,4639,0:03:24.810000
399949945,-794457861,4639,0:03:24.910000
399949945,-794457861,4639,0:03:25.010000
399949945,-794457861,4639,0:03:25.110000
399949945,-794457861,4639,0:03:25.220000
399949945,-794457861,4639,0:03:25.310000
399949945,-794457861,4639,0:03:25.410000
399949945,-794457861,4639,0:03:25.510000
399949945,-794457861,4639,0:03:25.610000
399949945,-794457861,4639,0:03:25.710000
399949945,-794457861,4639,0:03:25.810000
399949945,-794457861,4639,0:03:25.910000
399949945,-794457861,4639,0:03:26.020000
399949945,-794457861,4639,0:03:26.030000
399949945,-794457861,4639,0:03:26.110000
399949945,-794457861,4639,0:03:26.210000
399949945,-794457861,4639,0:03:26.310000
399949945,-794457861,4639,0:03:26.410000
399949945,-794457861,4639,0:03:26.520000
399949945,-794457861,4639,0:03:26.610000
399949945,-794457861,4639,0:03:26.710000
399949945,-794457861,4639,0:03:26.830000
399949945,-794457861,4639,0:03:27.010000
399949945,-794457861,4639,0:03:27.030000
399949945,-794457861,4639,0:03:27.210000
399949945,-794457861,4639,0:03:27.230000
399949945,-794457861,4639,0:03:27.420000
399949945,-794457861,4639,0:03:27.520000
399949945,-794457862,4639,0:03:27.890000
399949945,-794457862,4639,0:03:27.910000
399949945,-794457862,4639,0:03:27.920000
399949945,-794457862,4639,0:03:27.920000
399949945,-794457862,4639,0:03:28.390000
399949945,-794457862,4639,0:03:28.390000
399949945,-794457862,4639,0:03:28.390000
399949945,-794457862,4639,0:03:28.390000
399949945,-794457862,4639,0:03:28.410000
399949945,-794457862,4639,0:03:28.870000
399949945,-794457862,4639,0:03:28.910000
399949945,-794457862,4639,0:03:28.920000
399949945,-794457862,4639,0:03:28.920000
399949945,-794457862,4639,0:03:28.920000
399949945,-794457862,4639,0:03:29.350000
399949945,-794457862,4639,0:03:29.350000
399949945,-794457862,4639,0:03:29.350000
399949945,-794457862,4639,0:03:29.360000
399949945,-794457862,4639,0:03:29.410000
399949945,-794457862,4639,0:03:29.850000
399949947,-794457874,4638,0:03:29.900000
399949947,-794457874,4638,0:03:29.900000
399949947,-794457874,4638,0:03:29.900000
399949947,-794457874,4638,0:03:29.910000
399949947,-794457874,4638,0:03:29.920000
399949947,-794457874,4638,0:03:30.330000
399949947,-794457874,4638,0:03:30.330000
399949947,-794457874,4638,0:03:30.330000
399949947,-794457874,4638,0:03:30.340000
399949947,-794457874,4638,0:03:30.820000
399949947,-794457874,4638,0:03:30.830000
399949952,-794457886,4637,0:03:30.830000
399949952,-794457886,4637,0:03:30.830000
399949952,-794457886,4637,0:03:30.840000
399949952,-794457886,4637,0:03:31.400000
399949952,-794457886,4637,0:03:31.400000
399949952,-794457886,4637,0:03:31.400000
399949952,-794457886,4637,0:03:31.410000
399949952,-794457886,4637,0:03:31.410000
399949952,-794457886,4637,0:03:31.420000
399949952,-794457886,4637,0:03:31.900000
399949958,-794457897,4635,0:03:31.910000
399949958,-794457897,4635,0:03:31.920000
399949958,-794457897,4635,0:03:31.920000
399949958,-794457897,4635,0:03:31.920000
399949958,-794457897,4635,0:03:32.450000
399949958,-794457897,4635,0:03:32.450000
399949958,-794457897,4635,0:03:32.460000
399949958,-794457897,4635,0:03:32.460000
399949958,-794457897,4635,0:03:32.460000
399949958,-794457897,4635,0:03:32.510000
399949966,-794457910,4634,0:03:32.990000
399949966,-794457910,4634,0:03:32.990000
399949966,-794457910,4634,0:03:32.990000
399949966,-794457910,4634,0:03:33
399949966,-794457910,4634,0:03:33
399949966,-794457910,4634,0:03:33.090000
399949966,-794457910,4634,0:03:33.190000
399949966,-794457910,4634,0:03:33.300000
399949966,-794457910,4634,0:03:33.390000
399949966,-794457910,4634,0:03:33.490000
399949975,-794457923,4633,0:03:33.590000
399949975,-794457923,4633,0:03:33.690000
399949975,-794457923,4633,0:03:33.790000
399949975,-794457923,4633,0:03:33.890000
399949975,-794457923,4633,0:03:33.990000
399949975,-794457923,4633,0:03:34.090000
399949975,-794457923,4633,0:03:34.190000
399949975,-794457923,4633,0:03:34.290000
399949975,-794457923,4633,0:03:34.390000
