lat,long,elev,timediff
399949873,-794458030,4672,08:08.7
399949872,-794458033,4672,08:08.8
399949869,-794458037,4672,08:08.9
399949867,-794458041,4671,08:09.0
399949864,-794458045,4671,08:09.1
399949863,-794458048,4671,08:09.2
399949863,-794458054,4671,08:09.3
399949859,-794458059,4671,08:09.4
399949858,-794458061,4671,08:09.5
399949851,-794458054,4674,08:09.6
399949848,-794458060,4674,08:09.7
399949846,-794458065,4674,08:09.8
399949843,-794458072,4674,08:09.9
399949839,-794458078,4673,08:10.0
399949837,-794458086,4673,08:10.1
399949834,-794458095,4673,08:10.2
399949829,-794458104,4673,08:10.3
399949826,-794458117,4673,08:10.4
399949825,-794458128,4672,08:10.5
399949813,-794458136,4673,08:10.6
399949810,-794458153,4671,08:10.7
399949805,-794458169,4671,08:10.8
399949802,-794458180,4671,08:11.0
399949800,-794458200,4671,08:11.0
399949795,-794458219,4671,08:11.1
399949791,-794458237,4671,08:11.2
399949796,-794458263,4672,08:11.3
399949794,-794458286,4673,08:11.5
399949791,-794458316,4671,08:11.6
399949807,-794458345,4670,08:11.6
399949808,-794458372,4670,08:11.8
399949811,-794458402,4671,08:11.8
399949816,-794458423,4672,08:11.9
399949821,-794458452,4672,00:08:12
399949828,-794458484,4671,08:12.1
399949838,-794458509,4672,08:12.2
399949845,-794458535,4673,08:12.3
399949857,-794458566,4672,08:12.4
399949870,-794458592,4672,08:12.5
399949879,-794458613,4673,08:12.6
399949897,-794458644,4672,08:12.7
399949910,-794458675,4673,08:12.8
399949926,-794458703,4673,08:12.9
399949944,-794458732,4674,08:13.0
399949963,-794458759,4674,08:13.1
399949981,-794458781,4673,08:13.2
399950008,-794458804,4673,08:13.3
399950031,-794458827,4673,08:13.4
399950057,-794458851,4673,08:13.5
399950076,-794458869,4673,08:13.6
399950103,-794458888,4673,08:13.7
399950132,-794458906,4673,08:13.8
399950163,-794458926,4673,08:13.9
399950194,-794458944,4673,08:14.0
399950222,-794458954,4672,08:14.1
399950256,-794458973,4672,08:14.2
399950292,-794458992,4674,08:14.3
399950362,-794459021,4673,08:14.4
399950394,-794459051,4675,08:14.5
399950430,-794459063,4675,08:14.6
399950430,-794459063,4675,08:14.7
399950466,-794459083,4676,08:14.8
399950501,-794459098,4676,08:14.9
399950540,-794459105,4675,08:15.0
399950577,-794459125,4675,08:15.1
399950613,-794459141,4676,08:15.2
399950691,-794459170,4676,08:15.3
399950729,-794459188,4676,08:15.4
399950729,-794459188,4676,08:15.5
399950760,-794459185,4672,08:15.6
399950805,-794459202,4673,08:15.7
399950839,-794459212,4672,08:15.8
399950885,-794459233,4672,08:15.9
399950923,-794459243,4672,08:16.0
399950961,-794459258,4672,08:16.1
399951002,-794459273,4673,08:16.2
399951047,-794459289,4673,08:16.3
399951086,-794459302,4673,08:16.4
399951125,-794459313,4673,08:16.5
399951156,-794459350,4673,08:16.6
399951195,-794459357,4672,08:16.7
399951237,-794459374,4673,08:16.8
399951278,-794459382,4673,08:16.9
399951319,-794459390,4673,08:17.0
399951358,-794459399,4673,08:17.1
399951399,-794459405,4675,08:17.2
399951440,-794459406,4675,08:17.3
399951476,-794459414,4676,08:17.4
399951517,-794459415,4676,08:17.5
399951558,-794459425,4677,08:17.6
399951593,-794459424,4676,08:17.7
399951630,-794459424,4676,08:17.8
399951667,-794459421,4677,08:17.9
399951703,-794459417,4676,08:18.0
399951740,-794459414,4676,08:18.1
399951776,-794459402,4676,08:18.2
399951811,-794459397,4676,08:18.3
399951847,-794459379,4679,08:18.4
399951882,-794459371,4679,08:18.5
399951916,-794459363,4680,08:18.6
399951944,-794459345,4680,08:18.7
399951980,-794459329,4680,08:18.8
399952013,-794459316,4680,08:18.9
399952042,-794459296,4679,08:19.0
399952070,-794459276,4679,08:19.1
399952102,-794459254,4679,08:19.2
399952135,-794459232,4680,08:19.3
399952163,-794459208,4680,08:19.4
399952194,-794459184,4679,08:19.5
399952220,-794459184,4677,08:19.6
399952248,-794459155,4677,08:19.7
399952277,-794459133,4677,08:19.8
399952305,-794459107,4677,08:19.9
399952333,-794459073,4676,08:20.0
399952360,-794459044,4675,08:20.1
399952387,-794459013,4676,08:20.2
399952416,-794458984,4675,08:20.3
399952443,-794458949,4675,08:20.4
399952470,-794458919,4674,08:20.5
399952506,-794458906,4675,08:20.6
399952531,-794458868,4675,08:20.7
399952556,-794458830,4675,08:20.8
399952582,-794458791,4675,08:20.9
399952607,-794458747,4675,08:21.0
399952630,-794458709,4674,08:21.1
399952652,-794458666,4674,08:21.2
399952674,-794458620,4674,08:21.3
399952695,-794458575,4673,08:21.4
399952716,-794458526,4673,08:21.5
399952739,-794458473,4671,08:21.6
399952760,-794458421,4672,08:21.7
399952780,-794458368,4672,08:21.8
399952799,-794458312,4671,08:21.9
399952817,-794458256,4670,08:22.0
399952836,-794458198,4670,08:22.1
399952856,-794458138,4670,08:22.2
399952870,-794458075,4669,08:22.3
399952890,-794458011,4668,08:22.4
399952906,-794457946,4668,08:22.5
399952929,-794457897,4667,08:22.6
399952945,-794457824,4667,08:22.7
399952960,-794457751,4666,08:22.8
399952974,-794457680,4665,08:22.9
399952990,-794457605,4665,08:23.0
399953003,-794457528,4663,08:23.1
399953015,-794457449,4662,08:23.2
399953030,-794457368,4662,08:23.3
399953041,-794457285,4661,08:23.4
399953055,-794457202,4660,08:23.5
399953067,-794457129,4660,08:23.6
399953078,-794457039,4658,08:23.7
399953092,-794456951,4657,08:23.8
399953104,-794456863,4656,08:23.9
399953118,-794456772,4656,08:24.0
399953131,-794456686,4655,08:24.0
399953142,-794456591,4653,08:24.1
399953155,-794456501,4653,08:24.2
399953170,-794456406,4651,08:24.3
399953183,-794456314,4650,08:24.4
399953197,-794456221,4648,08:24.5
399953211,-794456120,4648,08:24.6
399953231,-794456028,4648,08:24.7
399953244,-794455923,4646,08:24.8
399953261,-794455825,4645,08:24.9
399953276,-794455720,4643,08:25.0
399953293,-794455619,4642,08:25.1
399953312,-794455517,4641,08:25.2
399953332,-794455410,4640,08:25.3
399953350,-794455306,4639,08:25.4
399953365,-794455201,4638,08:25.5
399953387,-794455089,4637,08:25.6
399953407,-794454976,4636,08:25.7
399953428,-794454868,4634,08:25.8
399953455,-794454752,4633,08:25.9
399953455,-794454752,4633,08:26.0
399953505,-794454534,4632,08:26.1
399953505,-794454534,4632,08:26.2
399953533,-794454419,4631,08:26.3
399953555,-794454299,4629,08:26.4
399953596,-794454179,4628,08:26.5
399953624,-794454070,4627,08:26.6
399953652,-794453949,4626,08:26.7
399953664,-794453812,4622,08:26.8
399953687,-794453691,4621,08:26.9
399953711,-794453561,4619,08:27.0
399953741,-794453430,4618,08:27.1
399953774,-794453302,4617,08:27.2
399953804,-794453171,4614,08:27.3
399953838,-794453035,4613,08:27.4
399953865,-794452903,4612,08:27.5
399953899,-794452774,4611,08:27.9
399953940,-794452636,4609,08:27.9
399953973,-794452495,4608,08:27.9
399953999,-794452352,4604,08:27.9
399954019,-794452206,4602,08:28.4
399954046,-794452064,4600,08:28.4
399954080,-794451922,4600,08:28.4
399954114,-794451783,4598,08:28.4
399954140,-794451633,4595,08:28.4
399954172,-794451484,4594,08:28.9
399954212,-794451345,4593,08:28.9
399954258,-794451195,4591,08:28.9
399954276,-794451041,4589,08:28.9
399954314,-794450891,4590,08:28.9
399954351,-794450732,4588,08:29.3
399954388,-794450580,4587,08:29.4
399954397,-794450407,4584,08:29.4
399954434,-794450252,4582,08:29.4
399954467,-794450097,4580,08:29.4
399954504,-794449939,4579,08:29.8
399954580,-794449809,4578,08:29.8
399954629,-794449655,4577,08:29.9
399954675,-794449494,4576,08:29.9
399954717,-794449344,4575,08:29.9
399954756,-794449182,4574,08:30.3
399954793,-794449023,4572,08:30.3
399954812,-794448838,4572,08:30.4
399954849,-794448670,4570,08:30.4
