lat,long,elev,time
408632687,-778351233,3359,0.01
408632687,-778351233,3359,0.02
408632687,-778351233,3359,0.03
408632687,-778351233,3359,0.04
408632687,-778351233,3359,0.05
408632687,-778351233,3359,0.06
408632687,-778351233,3359,0.07
408632687,-778351233,3359,0.08
408632687,-778351233,3359,0.09
408632687,-778351233,3359,0.1
408632687,-778351233,3359,0.11
408632687,-778351233,3359,0.12
408632687,-778351233,3359,0.13
408632687,-778351233,3359,0.14
408632687,-778351233,3359,0.15
408632687,-778351233,3359,0.16
408632687,-778351233,3359,0.17
408632687,-778351233,3359,0.18
408632687,-778351233,3359,0.19
408632687,-778351233,3359,0.2
408632687,-778351233,3359,0.21
408632687,-778351233,3359,0.22
408632687,-778351233,3359,0.23
408632687,-778351233,3359,0.24
408632687,-778351233,3359,0.25
408632687,-778351233,3359,0.26
408632687,-778351233,3359,0.27
408632687,-778351233,3359,0.28
408632687,-778351233,3359,0.29
408632687,-778351233,3359,0.3
408632687,-778351233,3359,0.31
408632687,-778351233,3359,0.32
408632687,-778351233,3359,0.33
408632687,-778351233,3359,0.34
408632687,-778351233,3359,0.35
408632687,-778351233,3359,0.36
408632687,-778351233,3359,0.37
408632687,-778351233,3359,0.38
408632687,-778351233,3359,0.39
408632687,-778351233,3359,0.4
408632687,-778351233,3359,0.41
408632687,-778351233,3359,0.42
408632687,-778351233,3359,0.43
408632687,-778351233,3359,0.44
408632687,-778351233,3359,0.45
408632687,-778351233,3359,0.46
408632687,-778351233,3359,0.47
408632687,-778351233,3359,0.48
408632687,-778351233,3359,0.49
408632687,-778351233,3359,0.5
408632687,-778351233,3359,0.51
408632687,-778351233,3359,0.52
408632687,-778351233,3359,0.53
408632687,-778351233,3359,0.54
408632687,-778351233,3359,0.55
408632687,-778351233,3359,0.56
408632687,-778351233,3359,0.57
408632687,-778351233,3359,0.58
408632641,-778351222,3359,0.59
408632630,-778351218,3359,0.6
408632620,-778351214,3359,0.61
408632606,-778351211,3359,0.62
408632590,-778351207,3359,0.63
408632575,-778351204,3359,0.64
408632558,-778351203,3359,0.65
408632543,-778351196,3359,0.66
408632524,-778351188,3359,0.67
408632503,-778351182,3359,0.68
408632504,-778351165,3359,0.69
408632481,-778351159,3358,0.7
408632460,-778351150,3358,0.71
408632438,-778351144,3358,0.72
408632412,-778351136,3358,0.73
408632390,-778351130,3358,0.74
408632367,-778351123,3358,0.75
408632344,-778351115,3358,0.76
408632316,-778351106,3357,0.77
408632293,-778351101,3357,0.78
408632276,-778351093,3358,0.79
408632249,-778351082,3358,0.8
408632221,-778351073,3357,0.81
408632194,-778351067,3357,0.82
408632167,-778351059,3357,0.83
408632138,-778351050,3357,0.84
408632108,-778351039,3357,0.85
408632081,-778351028,3357,0.86
408632051,-778351018,3356,0.87
408632051,-778351018,3356,0.88
408631998,-778350989,3357,0.89
408631998,-778350989,3357,0.9
408631965,-778350976,3357,0.91
408631932,-778350966,3356,0.92
408631898,-778350953,3356,0.93
408631865,-778350940,3356,0.94
408631832,-778350929,3356,0.95
408631795,-778350919,3356,0.96
408631757,-778350905,3356,0.97
408631684,-778350877,3355,0.98
408631684,-778350877,3355,0.99
408631653,-778350855,3356,1
408631578,-778350826,3355,1.01
408631539,-778350811,3355,1.02
408631499,-778350794,3354,1.03
408631460,-778350775,3354,1.04
408631420,-778350757,3353,1.05
408631420,-778350757,3353,1.06
408631381,-778350743,3353,1.07
408631341,-778350724,3353,1.08
408631302,-778350707,3352,1.09
408631275,-778350685,3353,1.1
408631193,-778350647,3352,1.11
408631154,-778350630,3352,1.12
408631115,-778350608,3352,1.13
408631115,-778350608,3352,1.14
408631036,-778350569,3351,1.15
408630994,-778350548,3350,1.16
408630952,-778350530,3350,1.17
408630912,-778350513,3350,1.18
408630878,-778350495,3350,1.19
408630833,-778350478,3350,1.2
408630833,-778350478,3350,1.21
408630797,-778350453,3350,1.22
408630712,-778350418,3350,1.23
408630712,-778350418,3350,1.24
408630670,-778350402,3350,1.25
408630626,-778350385,3349,1.26
408630583,-778350366,3349,1.27
408630540,-778350344,3349,1.28
408630494,-778350327,3349,1.29
408630454,-778350313,3350,1.3
408630408,-778350295,3350,1.31
408630364,-778350277,3350,1.32
408630317,-778350258,3349,1.33
408630270,-778350238,3349,1.34
408630218,-778350221,3349,1.35
408630168,-778350203,3349,1.36
408630116,-778350184,3349,1.37
408630064,-778350165,3349,1.38
408630009,-778350149,3349,1.39
408629968,-778350128,3349,1.4
408629911,-778350106,3349,1.41
408629853,-778350087,3349,1.42
408629798,-778350069,3349,1.43
408629739,-778350049,3349,1.44
408629678,-778350031,3348,1.45
408629619,-778350012,3348,1.46
408629559,-778349994,3348,1.47
408629500,-778349972,3349,1.48
408629437,-778349954,3348,1.49
408629386,-778349932,3349,1.5
408629321,-778349912,3349,1.51
408629258,-778349894,3348,1.52
408629193,-778349874,3348,1.53
408629128,-778349852,3348,1.54
408629065,-778349831,3348,1.55
408629001,-778349809,3348,1.56
408628936,-778349784,3348,1.57
408628871,-778349762,3348,1.58
408628806,-778349742,3348,1.59
408628741,-778349717,3348,1.6
408628672,-778349695,3348,1.61
408628605,-778349673,3348,1.62
408628539,-778349648,3348,1.63
408628473,-778349623,3348,1.64
408628405,-778349600,3348,1.65
